Time_us	Received_Shear
0.000000000000000000e+00	-1.429665464741410215e-02
1.666666666666666644e-02	-1.020717937720262529e-02
3.333333333333333287e-02	1.337397810751904392e-02
4.999999999999999584e-02	-4.306088634846093333e-02
6.666666666666666574e-02	-2.629448106441352809e-02
8.333333333333334259e-02	4.153625716516898270e-02
9.999999999999999167e-02	1.204649331196517952e-02
1.166666666666666685e-01	2.076086325062161814e-02
1.333333333333333315e-01	5.718485530913224035e-02
1.499999999999999944e-01	6.202654799949307296e-02
1.666666666666666852e-01	6.819443125279904538e-02
1.833333333333333204e-01	8.140915335421128329e-02
1.999999999999999833e-01	1.400576119278605924e-01
2.166666666666666741e-01	5.041021964785306897e-02
2.333333333333333370e-01	4.869035895630839661e-02
2.500000000000000000e-01	5.525607579966443361e-02
2.666666666666666630e-01	-6.171066013930234795e-03
2.833333333333333814e-01	7.039502713000773959e-02
2.999999999999999889e-01	6.327549141452025461e-03
3.166666666666666519e-01	-7.791930611689108777e-02
3.333333333333333703e-01	-9.977153867731214376e-02
3.499999999999999778e-01	-4.068810241897520552e-02
3.666666666666666408e-01	-1.007986219344795265e-01
3.833333333333333592e-01	-1.294433152880250237e-01
3.999999999999999667e-01	-1.743776449633211989e-01
4.166666666666666852e-01	-1.744454653134162869e-01
4.333333333333333481e-01	-1.346150834967391186e-01
4.500000000000000111e-01	-1.341241090595850227e-01
4.666666666666666741e-01	-1.172766612592708868e-01
4.833333333333332815e-01	-8.281007773876708500e-02
5.000000000000000000e-01	-1.966235251541674847e-02
5.166666666666666075e-01	-6.229570279584140807e-03
5.333333333333333259e-01	2.241843239475537278e-02
5.500000000000000444e-01	6.166180066304779994e-02
5.666666666666667629e-01	7.271158458109146239e-02
5.833333333333333703e-01	1.771408139621690747e-01
5.999999999999999778e-01	1.828951904103352510e-01
6.166666666666666963e-01	1.909242379655748667e-01
6.333333333333333037e-01	2.415351157236067525e-01
6.500000000000000222e-01	1.688778127146576269e-01
6.666666666666667407e-01	1.631645817671817655e-01
6.833333333333333481e-01	1.892710490532141243e-01
6.999999999999999556e-01	6.736357912876732301e-02
7.166666666666666741e-01	3.867451199462076245e-02
7.333333333333332815e-01	2.762168317706083231e-02
7.500000000000000000e-01	-7.446832414190406382e-03
7.666666666666667185e-01	-3.450162007266945052e-02
7.833333333333334370e-01	-5.460640605722249380e-02
7.999999999999999334e-01	-9.779870844254796858e-02
8.166666666666666519e-01	-4.460486853519326361e-02
8.333333333333333703e-01	-6.925854211601008281e-02
8.499999999999999778e-01	-7.518763370380518452e-02
8.666666666666666963e-01	-1.132424960226542793e-01
8.833333333333334147e-01	-4.439032973525410680e-02
9.000000000000000222e-01	-1.121532525755503662e-01
9.166666666666666297e-01	-7.039912741329147627e-02
9.333333333333333481e-01	-5.646672620886356020e-02
9.499999999999999556e-01	-8.894034300834074980e-02
9.666666666666665630e-01	-1.495696918718727314e-02
9.833333333333333925e-01	-3.132865981555674195e-02
1.000000000000000000e+00	1.531841656343218769e-02
1.016666666666666829e+00	3.371752557545899115e-02
1.033333333333333215e+00	8.182221819365678717e-02
1.050000000000000044e+00	3.121301673398652748e-02
1.066666666666666652e+00	1.104411076582237639e-01
1.083333333333333259e+00	8.447297208964003878e-02
1.100000000000000089e+00	5.356376246248683443e-02
1.116666666666666696e+00	1.613475615938039440e-02
1.133333333333333526e+00	4.586301587243979405e-02
1.149999999999999911e+00	3.954022540687499726e-03
1.166666666666666741e+00	2.881143199336438573e-02
1.183333333333333348e+00	3.836473686704219149e-02
1.199999999999999956e+00	-4.733111660667338461e-03
1.216666666666666785e+00	2.197640931951492377e-02
1.233333333333333393e+00	-6.911492778550551268e-03
1.250000000000000000e+00	-1.973440925211836575e-02
1.266666666666666607e+00	8.170136097265294495e-03
1.283333333333333215e+00	-1.465611703778474904e-02
1.300000000000000044e+00	-2.071143434955766138e-02
1.316666666666666652e+00	-4.281594365462375318e-03
1.333333333333333481e+00	4.992394807178486549e-02
1.350000000000000089e+00	-2.034629509733103594e-02
1.366666666666666696e+00	-1.684054146023470852e-02
1.383333333333333304e+00	-5.593453130551518347e-03
1.399999999999999911e+00	-6.551657944569092007e-02
1.416666666666666741e+00	1.946042418944382568e-02
1.433333333333333348e+00	-4.356857153535407916e-03
1.450000000000000178e+00	2.347362272492582724e-02
1.466666666666666563e+00	4.405586830443805613e-02
1.483333333333333393e+00	8.013151641242053855e-03
1.500000000000000000e+00	-1.745815433261678484e-02
1.516666666666666607e+00	-2.040370866499935376e-02
1.533333333333333437e+00	-3.767020750243049027e-02
1.550000000000000044e+00	1.341223801970326673e-02
1.566666666666666874e+00	-2.013814612705238510e-02
1.583333333333333259e+00	-5.051883792128675221e-02
1.599999999999999867e+00	7.374642453220715821e-02
1.616666666666666696e+00	-3.288643594041753410e-02
1.633333333333333304e+00	1.889735251434988828e-02
1.650000000000000133e+00	2.838164775109895677e-02
1.666666666666666741e+00	-4.095800089703885080e-03
1.683333333333333348e+00	-3.154417744630164111e-02
1.699999999999999956e+00	-3.450525787845938608e-02
1.716666666666666563e+00	3.886640576888897303e-02
1.733333333333333393e+00	7.083039318064757867e-03
1.750000000000000000e+00	1.213234966064208852e-02
1.766666666666666829e+00	-3.545434758027396493e-02
1.783333333333333437e+00	-2.542814274316517603e-02
1.800000000000000044e+00	1.975633036039104937e-03
1.816666666666666652e+00	4.506551529639948872e-02
1.833333333333333259e+00	-2.448897403019882624e-02
1.850000000000000089e+00	8.273520148869718122e-03
1.866666666666666696e+00	1.261818760049999294e-02
1.883333333333333526e+00	6.974231215242977962e-03
1.899999999999999911e+00	4.428248568393858102e-03
1.916666666666666741e+00	-2.650797205868868703e-02
1.933333333333333126e+00	4.933763484233865109e-04
1.949999999999999956e+00	1.695083889089972831e-02
1.966666666666666785e+00	-2.172876207581421470e-02
1.983333333333333615e+00	1.460321332780984381e-02
2.000000000000000000e+00	2.573606066735929787e-02
2.016666666666666607e+00	3.193097645516756317e-02
2.033333333333333659e+00	3.837327355781953997e-02
2.049999999999999822e+00	-5.508261544298159035e-02
2.066666666666666430e+00	-2.504432403227060955e-02
2.083333333333333481e+00	2.248679328594255233e-02
2.100000000000000089e+00	3.435299158216642210e-03
2.116666666666666696e+00	-1.004763326603107590e-02
2.133333333333333304e+00	-1.219880041902150943e-02
2.150000000000000355e+00	-3.590067859959953506e-02
2.166666666666666519e+00	1.235849187839756225e-02
2.183333333333333126e+00	2.985998952125929438e-03
2.200000000000000178e+00	-1.200608307817602367e-02
2.216666666666666785e+00	-4.124645813733544830e-02
2.233333333333333393e+00	3.990244275459954538e-04
2.250000000000000000e+00	-2.394175510369612320e-02
2.266666666666667052e+00	-4.054012580339143301e-02
2.283333333333333215e+00	4.528132706380206748e-03
2.299999999999999822e+00	1.789866363617996503e-02
2.316666666666666874e+00	1.058812771441030622e-02
2.333333333333333481e+00	-1.336544067447609577e-02
2.350000000000000089e+00	-2.386540682798306279e-02
2.366666666666666696e+00	8.414095959888422127e-03
2.383333333333333304e+00	4.020723556342822858e-03
2.399999999999999911e+00	-4.587705520534214598e-02
2.416666666666666519e+00	1.948326283811088397e-02
2.433333333333333570e+00	-3.001678653539798305e-02
2.450000000000000178e+00	-6.479063226947669174e-02
2.466666666666666785e+00	4.912704583899420857e-02
2.483333333333333393e+00	7.537400308791041004e-03
2.500000000000000000e+00	3.714893638500008088e-02
2.516666666666666607e+00	-4.746619202457415081e-03
2.533333333333333215e+00	-4.954144306481157028e-02
2.550000000000000266e+00	-3.057644430456721643e-02
2.566666666666666430e+00	6.898060217237222264e-03
2.583333333333333481e+00	-2.084258871497950832e-02
2.600000000000000089e+00	1.636780237161206131e-02
2.616666666666666696e+00	1.573210998474802030e-02
2.633333333333333304e+00	-3.892680750339212563e-03
2.649999999999999911e+00	2.909134972838383834e-02
2.666666666666666963e+00	2.048238008735146082e-02
2.683333333333333126e+00	5.654126815234759851e-02
2.700000000000000178e+00	-8.008516540998687067e-03
2.716666666666666785e+00	-7.800960436104229997e-03
2.733333333333333393e+00	1.943961468524853725e-05
2.750000000000000000e+00	4.575759263100055187e-03
2.766666666666666607e+00	-2.944001006056660291e-02
2.783333333333333659e+00	-2.799903781444159495e-02
2.799999999999999822e+00	-1.259412482841437697e-02
2.816666666666666874e+00	5.305084211479640932e-02
2.833333333333333481e+00	-3.843303727732090558e-02
2.850000000000000089e+00	5.220941820889719691e-03
2.866666666666666696e+00	-3.424256362166805314e-03
2.883333333333333304e+00	-2.867593534210791453e-02
2.900000000000000355e+00	1.465212622716264776e-02
2.916666666666666519e+00	-2.593543062618547043e-02
2.933333333333333126e+00	-5.014070248737834135e-02
2.950000000000000178e+00	-1.527513061517008115e-02
2.966666666666666785e+00	5.235496264065158528e-02
2.983333333333333393e+00	-1.153546345394311327e-02
3.000000000000000000e+00	6.714519640355721096e-03
3.016666666666667052e+00	2.600012268427007688e-03
3.033333333333333215e+00	-3.666235242619401242e-04
3.049999999999999822e+00	4.957283873909971127e-03
3.066666666666666874e+00	-9.566036129723133261e-03
3.083333333333333481e+00	-1.325179576000639833e-02
3.100000000000000089e+00	1.508204854070984910e-02
3.116666666666666696e+00	1.962633208219698860e-02
3.133333333333333748e+00	3.704782967141912603e-02
3.149999999999999911e+00	1.350096077620056845e-02
3.166666666666666519e+00	2.543949012113786746e-03
3.183333333333333570e+00	-5.408605522682478385e-03
3.199999999999999734e+00	-6.001195187295109944e-03
3.216666666666666785e+00	-2.287178477359709181e-02
3.233333333333333393e+00	-6.618062514731531953e-02
3.250000000000000444e+00	-1.702444705558750840e-02
3.266666666666666607e+00	-2.745966888689641699e-02
3.283333333333333215e+00	-4.457289854113342248e-02
3.300000000000000266e+00	-7.225813450062651411e-02
3.316666666666666430e+00	-7.305741512919791680e-02
3.333333333333333481e+00	-1.043315238633134440e-01
3.350000000000000089e+00	-9.843591287247306643e-02
3.366666666666666696e+00	-1.057220012539628884e-01
3.383333333333333304e+00	-1.043495800671467300e-01
3.399999999999999911e+00	-8.505730455947992097e-02
3.416666666666666963e+00	-4.973340444000840660e-02
3.433333333333333126e+00	-5.113765180525434856e-02
3.450000000000000178e+00	-6.880974333155610856e-02
3.466666666666666785e+00	-2.790318698363988825e-02
3.483333333333333393e+00	-3.122964247941376406e-02
3.500000000000000000e+00	1.668529799630735083e-02
3.516666666666666607e+00	1.884618862504316636e-02
3.533333333333333659e+00	6.341308602404416642e-03
3.549999999999999822e+00	9.056065364133930595e-02
3.566666666666666874e+00	5.695817228471385801e-02
3.583333333333333481e+00	6.839575234434010220e-02
3.600000000000000089e+00	8.852545600337237419e-02
3.616666666666666696e+00	1.136499685226664280e-01
3.633333333333333304e+00	1.632239634015525687e-01
3.650000000000000355e+00	1.272680870600712555e-01
3.666666666666666519e+00	1.383904058407586513e-01
3.683333333333333570e+00	1.041855713048635002e-01
3.700000000000000178e+00	1.029828404531339392e-01
3.716666666666666785e+00	1.586127569880105281e-01
3.733333333333333393e+00	1.088610499727388770e-01
3.750000000000000000e+00	9.803762314863441463e-02
3.766666666666667052e+00	1.220456891662305698e-01
3.783333333333333215e+00	1.114288837555400535e-01
3.799999999999999822e+00	5.203255727899648575e-02
3.816666666666666874e+00	2.852586215413128318e-02
3.833333333333333481e+00	3.738944712723359098e-02
3.850000000000000533e+00	-4.967644797506706733e-02
3.866666666666666252e+00	-2.006808381817103484e-02
3.883333333333333304e+00	-5.894156436112556186e-02
3.899999999999999911e+00	-7.887914541702380211e-02
3.916666666666666519e+00	-5.537836956740898459e-02
3.933333333333333570e+00	-1.223357861811154162e-01
3.950000000000000178e+00	-1.190308454061238252e-01
3.966666666666667229e+00	-9.996955602284438025e-02
3.983333333333332948e+00	-9.844214457946132146e-02
4.000000000000000000e+00	-1.701207320993123329e-01
4.016666666666666607e+00	-1.298683388067242428e-01
4.033333333333333215e+00	-1.433936695387915405e-01
4.049999999999999822e+00	-1.734181420593032819e-01
4.066666666666667318e+00	-1.387602171484125790e-01
4.083333333333333925e+00	-1.297981306618515573e-01
4.099999999999999645e+00	-6.923619848493584028e-02
4.116666666666666252e+00	-1.049065457508788213e-01
4.133333333333332860e+00	-7.427381517711834080e-02
4.150000000000000355e+00	-3.622623785771723198e-02
4.166666666666666963e+00	3.201291458102371867e-02
4.183333333333333570e+00	-5.767088680912920741e-03
4.200000000000000178e+00	8.739934190982467238e-03
4.216666666666666785e+00	3.071880087041044260e-02
4.233333333333333393e+00	3.057515684561620123e-02
4.250000000000000000e+00	6.395497057858165468e-02
4.266666666666666607e+00	1.045445554158232759e-01
4.283333333333333215e+00	1.239810135421349074e-01
4.300000000000000711e+00	8.187630277679587565e-02
4.316666666666667318e+00	1.376212136167188071e-01
4.333333333333333037e+00	1.342645125555413099e-01
4.349999999999999645e+00	1.516843368028852057e-01
4.366666666666666252e+00	1.378074572028581413e-01
4.383333333333333748e+00	1.669673018515751284e-01
4.400000000000000355e+00	1.738973188043296814e-01
4.416666666666666963e+00	9.033742287344048716e-02
4.433333333333333570e+00	6.460006560480389959e-02
4.450000000000000178e+00	8.198633980644179364e-02
4.466666666666666785e+00	5.036855963030706373e-02
4.483333333333333393e+00	5.718470479407283813e-02
4.500000000000000000e+00	4.055452407637329115e-02
4.516666666666666607e+00	5.875935041477939672e-03
4.533333333333334103e+00	-6.418886330400632584e-03
4.550000000000000711e+00	-2.715976312614342900e-02
4.566666666666666430e+00	-6.854475157663508789e-02
4.583333333333333037e+00	-1.266916193973788296e-01
4.599999999999999645e+00	-9.950010239094118913e-02
4.616666666666667140e+00	-7.311202430065727453e-02
4.633333333333333748e+00	-1.276115281404424651e-01
4.650000000000000355e+00	-1.567163090886911914e-01
4.666666666666666963e+00	-1.455137659879775780e-01
4.683333333333332682e+00	-1.133275680799820384e-01
